inchikey,smi_pre,smi_post,lambda_sTDA (nm),f1_sTDA,lumo_dft,homo_dft,dmom_dft (D),lambda_z (nm),f1_z,lumo_z,homo_z,dmom_z (D),lumo_mopac,homo_mopac,dmom_mopac (D),lambda_tddft (nm),f1_tddft,lambda_exp_max (nm),epsilon_exp_max ,lambda_exp_min (nm),epsilon_exp_min ,solvent
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O,OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nan,NaN,NaN,NaN,NaN,NaN,NaN,280,NaN,280,NaN,NaN
WMBWREPUVVBILR-WIYYLYMNSA-N,Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O,Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O,263.5,0.013442508,0.7857,-8.0182,4.27854,309.4962516363047,0.018574252,-0.9437,-8.3628,109.87824,-0.911,-8.907,3.70415,NaN,NaN,280,NaN,280,NaN,NaN
RKIBZFOZIJTIJU-UHFFFAOYSA-N,Brc1[nH]c2c(n1)c(Br)c(c(c2Br)Br)Br,Brc1[nH]c2c(n1)c(Br)c(c(c2Br)Br)Br,264.0,0.06144223,0.1205,-8.8347,3.58474,329.21985768853864,7.12e-07,-1.0813,-9.2145,67.48570,-1.534,-9.393,4.12557,NaN,NaN,940,NaN,940,NaN,NaN
FLMQUWVILHJCFJ-UHFFFAOYSA-N,Clc1ccc(c(c1)Cl)OCCn1cncc1,Clc1ccc(c(c1)Cl)OCCn1cncc1,245.2,0.01320909,1.0193,-8.8676,3.86453,276.011127349741,0.010132014,-0.2944,-8.4353,176.48539,-0.751,-9.424,6.51081,NaN,NaN,254,NaN,254,NaN,NaN
HCVBQXINVUFVCE-UHFFFAOYSA-N,COC(=O)C(CC(=O)O)(CC(=O)O)O,COC(=O)C(CC(=O)O)(CC(=O)O)O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nan,NaN,NaN,NaN,NaN,NaN,NaN,1666.6666666666667,NaN,1666.6666666666667,NaN,NaN
AIIUQHYYFAFVER-DTZQCDIJSA-N,CC(=O)O[C@H]1[C@@H](O[C@@H]([C@H]1C(F)(F)F)COC(=O)c1ccccc1)n1ccc(=O)[nH]c1=O,CC(=O)O[C@H]1[C@@H](O[C@@H]([C@H]1C(F)(F)F)COC(=O)c1ccccc1)n1ccc(=O)[nH]c1=O,242.5,0.011785684,0.4642,-9.3706,3.32277,303.288156569236,0.00052342,-0.9047,-9.3916,172.62243,-1.004,-9.841,3.41192,NaN,NaN,931,NaN,931,NaN,NaN
UGCLEKVSHFQKOD-LLVKDONJSA-N,COC(=O)Cc1ccc(cc1)OC[C@H]1OC1,COC(=O)Cc1ccc(cc1)OC[C@H]1OC1,245.9,0.039421678,1.5588,-8.4152,2.38065,280.9521831078714,0.024476906,0.0155,-8.617,20.26492,0.018,-9.058,2.03847,NaN,NaN,225,NaN,225,NaN,NaN
GSDSWSVVBLHKDQ-UHFFFAOYSA-N,CN1CCN(CC1)c1c(F)cc2c3c1OCC(n3cc(c2=O)C(=O)O)C,CN1CCN(CC1)c1c(F)cc2c3c1OCC(n3cc(c2=O)C(=O)O)C,291.8,0.049057736,0.0174,-8.3155,10.03869,345.6487270853182,0.00014355,-1.3137,-8.8505,222.11339,-1.049,-8.752,11.47002,NaN,NaN,820,NaN,820,NaN,NaN
GXOAJZBMIZDGCK-TVONUNMFSA-N,OC[C@H]1O[C@@H](N=C=C2CC(=O)c3c4c2nc2cc(Cl)ccc2c4ncc3)[C@@H]([C@H]([C@@H]1O)O)O,OC[C@H]1O[C@@H](N=C=C2CC(=O)c3c4c2nc2cc(Cl)ccc2c4ncc3)[C@@H]([C@H]([C@@H]1O)O)O,345.9,0.072535587,-0.985,-8.4437,3.35184,386.2436087398868,0.051351838,-1.6267,-8.3073,133.25669,-1.727,-9.207,3.76588,NaN,NaN,943,NaN,943,NaN,NaN
UFCRKZJPBDDMSF-UHFFFAOYSA-N,CCCCCCCCCCCCNc1ccc(cc1)O,CNc1ccc(cc1)O,280.5,0.081007299,1.8072,-7.2366,2.13247,295.9050081276937,0.053181234,0.6298,-7.9666,42.74140,0.108,-8.07,2.4281,NaN,NaN,254,NaN,254,NaN,NaN
YKVZXTVCDKRKMK-UHFFFAOYSA-N,Oc1ccccc1c1nc2c(o1)c(cc(c2)C(C)(C)C)C(C)(C)C,Oc1ccccc1c1nc2c(o1)c(cc(c2)C(C)(C)C)C(C)(C)C,285.5,0.634135114,0.3223,-8.0676,2.75743,353.8361826641086,0.505822812,-0.755,-7.8368,168.39505,-0.867,-8.842,2.93357,NaN,NaN,254,NaN,254,NaN,NaN
VYRIUISAJSZSMN-UHFFFAOYSA-N,OC(=O)C(Cn1cnc2c1ncnc2N(C)C)N,OC(=O)C(Cn1cnc2c1ncnc2N(C)C)N,249.8,0.28069835,1.2166,-8.0578,3.77033,311.1272231003856,0.209156456,-0.0044,-7.9215,84.30852,-0.516,-8.714,6.4553,NaN,NaN,267.60,NaN,267.60,NaN,NaN
