reduced_smiles,oxidized_smiles,RP,pm7_opt,pm7_opt_cosmo,pbe_6-31gs_sp,b3lyp_6-31gs_sp,b3lyp_6-31gs_opt_pcm_qchem,b3lyp_6-311+gdp_sp_pcm_qchem
O=S(=O)(O)Cc1c(CS(=O)(=O)O)c(O)c2c(O)c3ccccc3c(O)c2c1O,O=C1c2ccccc2C(=O)c2c(O)c(CS(=O)(=O)O)c(CS(=O)(=O)O)c(O)c21,0.02,-1.23722,-0.99441,-0.800330204,31.75114912,-0.090493768,0.182390098
O=S(=O)(O)c1cc2c(O)c3ccccc3c(O)c2c(O)c1O,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)O)c(O)c2O,0.06,-0.932,-0.93789,0.110394271,31.88889392,0.080188476,0.427061388
Oc1c2ccccc2c(O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,0.09,-0.89632,-0.795,0.191004804,32.00006071,0.15300938,0.489232311
O=S(=O)(O)c1cc(O)c2c(O)c3ccccc3c(O)c2c1O,Oc1cc(c(O)c2C(=O)c3ccccc3C(=O)c12)S(O)(=O)=O,0.09,-1.16201,-0.79582,-0.463483964,31.90462666,0.074432846,0.372407327
O=S(=O)(O)CCSc1c(SCCS(=O)(=O)O)c(O)c2c(O)c3ccccc3c(O)c2c1O,O=C1c2ccccc2C(=O)c2c(O)c(SCCS(=O)(=O)O)c(SCCS(=O)(=O)O)c(O)c21,0.113,-1.01532,-0.56243,0.04213158,31.99974604,0.126885496,0.351149656
O=S(=O)(O)c1ccc2c(O)c3c(O)c(S(=O)(=O)O)ccc3c(O)c2c1O,O=C1c2ccc(S(=O)(=O)O)c(O)c2C(=O)c2ccc(S(=O)(=O)O)c(O)c21,0.116,-0.97325,-0.6043,0.394469647,32.34311775,0.265087547,0.605425909
O=S(=O)(O)c1ccc2c(O)c3ccc(S(=O)(=O)O)c(O)c3c(O)c2c1O,O=C1c2ccc(S(=O)(=O)O)c(O)c2C(=O)c2c1ccc(S(=O)(=O)O)c2O,0.118,-0.58128,-0.56241,0.216160364,32.15547781,0.284081648,0.587989016
O=S(=O)(O)c1ccc2c(O)c3c(O)c(O)c(S(=O)(=O)O)cc3c(O)c2c1,Oc1c(O)c2c(cc1S(O)(=O)=O)c(=O)c1cc(ccc1c2=O)S(O)(=O)=O,0.133,-0.70373,-0.81871,0.354961451,32.21789519,0.253633306,0.6194314
O=S(=O)(O)c1ccc2c(O)c3ccccc3c(O)c2c1,OS(=O)(=O)c1ccc2c(c1)c(=O)c1ccccc1c2=O,0.187,-0.76496,-0.71272,0.302428015,32.16656283,0.340196873,0.62447697
O=S(=O)(O)c1cccc2c(O)c3ccccc3c(O)c12,OS(=O)(=O)c1cccc2c1c(=O)c1ccccc1c2=O,0.195,-0.78831,-0.72931,0.461817119,32.28848821,0.347608924,0.53301239
O=S(=O)(O)c1cccc2c(O)c3cccc(S(=O)(=O)O)c3c(O)c12,OS(=O)(=O)c1cccc2c1c(=O)c1c(cccc1c2=O)S(O)(=O)=O,0.206,-0.68786,-0.55487,0.368023918,32.2172322,0.398778135,0.594844368
